accession,collection_date,isolation_source,isolation_taxa,city,county,state,FIPS,region_name,district_name,latitude,longitude,data_source
W259,27-Jun-05,bird,Passeridae,Bakersfield,Kern,California,6029,West,Pacific,35.285,-119.018,WN4K
W260,30-Jun-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.341,-119.067,WN4K
W359,1-Jul-05,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.317,-119.109,WN4K
W360,1-Jul-05,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.317,-119.06,WN4K
W361,1-Jul-05,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.326,-119.075,WN4K
W362,6-Jul-05,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.351,-119.162,WN4K
W363,6-Jul-05,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.428,-119.115,WN4K
W788,6-Jul-05,bird,Pica nuttalli,Sacramento,Sacramento,California,6067,West,Pacific,38.607,-121.394,WN4K
W364,7-Jul-05,mosquito,Culex quinquefasciatus,Shafter,Kern,California,6029,West,Pacific,35.507,-119.265,WN4K
W261,10-Jul-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.33,-119.061,WN4K
W635,12-Jul-05,mosquito,Culex tarsalis,Citrus Heights,Sacramento,California,6067,West,Pacific,38.708,-121.293,WN4K
W636,12-Jul-05,mosquito,Culex tarsalis,Citrus Heights,Sacramento,California,6067,West,Pacific,38.671,-121.306,WN4K
W262,13-Jul-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.338,-119.11,WN4K
W365,14-Jul-05,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.299,-119.004,WN4K
W366,14-Jul-05,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.378,-119.036,WN4K
W367,14-Jul-05,mosquito,Culex quinquefasciatus,Bakersfield,Kern,California,6029,West,Pacific,35.378,-119.036,WN4K
W263,15-Jul-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.405,-119.006,WN4K
W368,19-Jul-05,mosquito,Culex tarsalis,Bakersfield,Kern,California,6029,West,Pacific,35.245,-119.236,WN4K
W789,21-Jul-05,bird,Mimus polyglottos,Elk Grove,Sacramento,California,6067,West,Pacific,38.414,-121.406,WN4K
W790,21-Jul-05,bird,Pica nuttalli,Elk Grove,Sacramento,California,6067,West,Pacific,38.397,-121.371,WN4K
W794,24-Jul-05,bird,Pica nuttalli,Sacramento,Sacramento,California,6067,West,Pacific,38.61,-121.389,WN4K
W795,25-Jul-05,bird,Pica nuttalli,Sacramento,Sacramento,California,6067,West,Pacific,38.61,-121.404,WN4K
W264,26-Jul-05,bird,Passer domesticus,Bakersfield,Kern,California,6029,West,Pacific,35.403,-118.957,WN4K
W265,28-Jul-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.374,-119.19,WN4K
W796,28-Jul-05,bird,Aphelocoma californica,Elk Grove,Sacramento,California,6067,West,Pacific,38.433,-121.328,WN4K
W637,30-Jul-05,mosquito,Culex tarsalis,Wilton,Sacramento,California,6067,West,Pacific,38.455,-121.175,WN4K
W266,1-Aug-05,bird,Haemorhous mexicanus,Bakersfield,Kern,California,6029,West,Pacific,35.408,-119.016,WN4K
W791,1-Aug-05,bird,Haemorhous mexicanus,Elk Grove,Sacramento,California,6067,West,Pacific,38.37,-121.496,WN4K
W119,3-Aug-05,bird,Pica nuttalli,Vacaville,Solano,California,6095,West,Pacific,38.39,-121.934,WN4K
W792,3-Aug-05,bird,Corvus brachyrhynchos,Davis,Yolo,California,6113,West,Pacific,38.539,-121.714,WN4K
W793,3-Aug-05,bird,Nycticorax nycticorax,Davis,Yolo,California,6113,West,Pacific,38.531,-121.777,WN4K
W120,4-Aug-05,bird,Pica nuttalli,Turlock,Stanislaus,California,6099,West,Pacific,37.48,-120.863,WN4K
W638,5-Aug-05,mosquito,Culex tarsalis,Freeport,Sacramento,California,6067,West,Pacific,38.44,-121.5,WN4K
W267,9-Aug-05,bird,Aphelocoma californica,Wasco,Kern,California,6029,West,Pacific,35.602,-119.385,WN4K
W268,15-Aug-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.398,-118.931,WN4K
W269,19-Aug-05,bird,Passer domesticus,Bakersfield,Kern,California,6029,West,Pacific,35.423,-119.076,WN4K
W639,20-Aug-05,mosquito,Culex pipiens,Citrus Heights,Sacramento,California,6067,West,Pacific,38.714,-121.279,WN4K
W270,29-Aug-05,bird,Aphelocoma californica,Bakersfield,Kern,California,6029,West,Pacific,35.352,-119.065,WN4K
